STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
50,025,09475,01462055,5002509475,0600000US5002509475,Brookline,Brookline town,43,T1,G4040,A,33290178,287232,+43.0254559,-072.6112548
50,025,17875,01462083,5002517875,0600000US5002517875,Dover,Dover town,43,T1,G4040,A,92639357,224249,+42.9654896,-072.8471074
50,025,28900,01462105,5002528900,0600000US5002528900,Grafton,Grafton town,43,T1,G4040,A,98773085,259776,+43.1819427,-072.6166994
50,025,30925,01462112,5002530925,0600000US5002530925,Guilford,Guilford town,43,T1,G4040,A,102422834,337542,+42.7739623,-072.6186917
50,025,31150,01462113,5002531150,0600000US5002531150,Halifax,Halifax town,43,T1,G4040,A,102868738,249724,+42.7839966,-072.7481962
50,025,36175,01462126,5002536175,0600000US5002536175,Jamaica,Jamaica town,43,T1,G4040,A,126769896,1387234,+43.1026727,-072.8203105
50,025,43375,01462143,5002543375,0600000US5002543375,Marlboro,Marlboro town,43,T1,G4040,A,104503689,984267,+42.8764781,-072.7377403
50,003,27962,01462102,5000327962,0600000US5000327962,Glastenbury,Glastenbury town,43,T9,G4040,I,115027385,13915,+42.9737188,-073.0753429
50,003,39025,01462131,5000339025,0600000US5000339025,Landgrove,Landgrove town,43,T1,G4040,A,22934584,103716,+43.2646025,-072.8507166
50,003,42850,01462142,5000342850,0600000US5000342850,Manchester,Manchester town,43,T1,G4040,A,108660996,322064,+43.1652229,-073.0630531
50,003,55000,01462172,5000355000,0600000US5000355000,Peru,Peru town,43,T1,G4040,A,96791086,301593,+43.2780777,-072.9345381
50,003,57025,01462179,5000357025,0600000US5000357025,Pownal,Pownal town,43,T1,G4040,A,121146174,671469,+42.7892865,-073.2144581
50,003,58600,01462184,5000358600,0600000US5000358600,Readsboro,Readsboro town,43,T1,G4040,A,93577441,384220,+42.7909426,-072.9726397
50,003,61000,01462192,5000361000,0600000US5000361000,Rupert,Rupert town,43,T1,G4040,A,115890477,97227,+43.2528541,-073.1973476
50,003,63550,01462203,5000363550,0600000US5000363550,Shaftsbury,Shaftsbury town,43,T1,G4040,A,111345105,237624,+42.9787706,-073.2134765
50,005,71575,01462224,5000571575,0600000US5000571575,Sutton,Sutton town,43,T1,G4040,A,99192363,504773,+44.6650706,-072.0359728
50,005,75700,01462238,5000575700,0600000US5000575700,Walden,Walden town,43,T1,G4040,A,100028451,919378,+44.4878264,-072.2249990
50,005,83500,01462259,5000583500,0600000US5000583500,Wheelock,Wheelock town,43,T1,G4040,A,102314218,831858,+44.5611806,-072.1598375
50,021,55600,01462174,5002155600,0600000US5002155600,Pittsford,Pittsford town,43,T1,G4040,A,112113009,658484,+43.7099607,-073.0484586
50,021,57250,01462180,5002157250,0600000US5002157250,Proctor,Proctor town,43,T1,G4040,A,19203742,434438,+43.6528791,-073.0334316
50,021,47425,01462156,5002147425,0600000US5002147425,Mount Tabor,Mount Tabor town,43,T1,G4040,A,114239500,371441,+43.3508069,-072.9216255
50,021,61300,01462194,5002161300,0600000US5002161300,Rutland,Rutland town,43,T1,G4040,A,49353210,456695,+43.6446502,-072.9530419
50,021,80875,01462252,5002180875,0600000US5002180875,West Haven,West Haven town,43,T1,G4040,A,72838833,1675200,+43.6392552,-073.3615947
50,025,65762,01462211,5002565762,0600000US5002565762,Somerset,Somerset town,43,T9,G4040,I,65607721,5895000,+42.9918378,-072.9716373
50,025,70750,01462221,5002570750,0600000US5002570750,Stratton,Stratton town,43,T1,G4040,A,119210165,1907452,+43.0773270,-072.9185279
50,025,73300,01462229,5002573300,0600000US5002573300,Townshend,Townshend town,43,T1,G4040,A,109511616,1162294,+43.0692734,-072.6804597
50,025,83950,01462261,5002583950,0600000US5002583950,Whitingham,Whitingham town,43,T1,G4040,A,95204651,6042643,+42.7805148,-072.8694433
50,025,84700,01462264,5002584700,0600000US5002584700,Wilmington,Wilmington town,43,T1,G4040,A,104766010,5204751,+42.8810199,-072.8655808
50,003,69775,01462215,5000369775,0600000US5000369775,Stamford,Stamford town,43,T1,G4040,A,102255394,300070,+42.8082501,-073.0763307
50,003,71425,01462223,5000371425,0600000US5000371425,Sunderland,Sunderland town,43,T1,G4040,A,117158658,821994,+43.0819464,-073.0667733
50,003,85075,01462267,5000385075,0600000US5000385075,Winhall,Winhall town,43,T1,G4040,A,114093319,1229559,+43.1688795,-072.9727310
50,003,85675,01462271,5000385675,0600000US5000385675,Woodford,Woodford town,43,T1,G4040,A,122653078,436450,+42.9082855,-073.0783031
50,001,62575,01462200,5000162575,0600000US5000162575,Salisbury,Salisbury town,43,T1,G4040,A,74956495,2998466,+43.9254949,-073.1115282
50,009,25975,01462097,5000925975,0600000US5000925975,Ferdinand,Ferdinand town,43,T9,G4040,I,136906364,588881,+44.7277551,-071.7872794
50,011,27700,01462101,5001127700,0600000US5001127700,Georgia,Georgia town,43,T1,G4040,A,101909652,15306110,+44.7224385,-073.1284519
50,023,11125,01462061,5002311125,0600000US5002311125,Cabot,Cabot town,43,T1,G4040,A,96181962,3313053,+44.3887252,-072.2887599
50,027,02725,01462033,5002702725,0600000US5002702725,Barnard,Barnard town,43,T1,G4040,A,124407498,613368,+43.7269868,-072.6332543
50,027,05800,01462043,5002705800,0600000US5002705800,Bethel,Bethel town,43,T1,G4040,A,117835268,685956,+43.8605789,-072.6942381
50,027,08275,01462050,5002708275,0600000US5002708275,Bridgewater,Bridgewater town,43,T1,G4040,A,128160488,352346,+43.6403996,-072.6897453
50,027,12250,01462066,5002712250,0600000US5002712250,Cavendish,Cavendish town,43,T1,G4040,A,102045909,572283,+43.3985356,-072.5999163
50,027,13675,01462070,5002713675,0600000US5002713675,Chester,Chester town,43,T1,G4040,A,144290221,670388,+43.2855766,-072.6297483
50,025,76225,01462241,5002576225,0600000US5002576225,Wardsboro,Wardsboro town,43,T1,G4040,A,75685009,84589,+43.0194784,-072.8121484
50,027,32425,01462117,5002732425,0600000US5002732425,Hartland,Hartland town,43,T1,G4040,A,117145787,812801,+43.5805108,-072.4389109
