SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
040,50,000,00000,00000,00000,0,A,Vermont,Vermont,643077,642936,647093,647110,647464
162,50,000,00400,00000,00000,0,A,Albany village,Vermont,182,181,181,181,178
162,50,000,00850,00000,00000,0,A,Alburgh village,Vermont,595,593,607,611,609
162,50,000,03175,00000,00000,0,A,Barre city,Vermont,8489,8476,8476,8438,8387
162,50,000,03475,00000,00000,0,A,Barton village,Vermont,752,750,746,736,726
162,50,000,04225,00000,00000,0,A,Bellows Falls village,Vermont,2788,2789,2799,2773,2769
162,50,000,10675,00000,00000,0,A,Burlington city,Vermont,44742,44746,44744,44612,44528
162,50,000,11425,00000,00000,0,A,Cambridge village,Vermont,203,202,204,200,197
162,50,000,17425,00000,00000,0,A,Derby Center village,Vermont,649,647,647,640,634
162,50,000,17500,00000,00000,0,A,Derby Line village,Vermont,680,680,679,672,666
162,50,000,24025,00000,00000,0,A,Enosburg Falls village,Vermont,1352,1353,1351,1349,1345
162,50,000,24400,00000,00000,0,A,Essex Junction city,Vermont,10602,10585,10800,10917,10817
162,50,000,34975,00000,00000,0,A,Hyde Park village,Vermont,431,430,430,433,425
162,50,000,36025,00000,00000,0,A,Jacksonville village,Vermont,215,215,215,217,218
162,50,000,36475,00000,00000,0,A,Jeffersonville village,Vermont,780,777,781,769,756
162,50,000,37000,00000,00000,0,A,Johnson village,Vermont,1360,1358,1359,1343,1327
162,50,000,41200,00000,00000,0,A,Ludlow village,Vermont,785,784,793,790,789
162,50,000,41950,00000,00000,0,A,Lyndonville village,Vermont,1175,1176,1191,1206,1211
162,50,000,42700,00000,00000,0,A,Manchester village,Vermont,772,771,777,774,771
162,50,000,43525,00000,00000,0,A,Marshfield village,Vermont,268,268,268,266,265
162,50,000,46000,00000,00000,0,A,Montpelier city,Vermont,8084,8070,8070,8035,7991
162,50,000,46825,00000,00000,0,A,Morrisville village,Vermont,2164,2168,2201,2258,2334
162,50,000,48100,00000,00000,0,A,Newbury village,Vermont,442,442,450,457,458
162,50,000,48325,00000,00000,0,A,Newfane village,Vermont,92,92,93,93,92
162,50,000,48850,00000,00000,0,A,Newport city,Vermont,4453,4447,4441,4389,4336
162,50,000,49075,00000,00000,0,A,North Bennington village,Vermont,1716,1714,1710,1711,1705
162,50,000,52075,00000,00000,0,A,North Troy village,Vermont,610,608,610,606,603
162,50,000,53125,00000,00000,0,A,Old Bennington village,Vermont,134,134,134,133,132
162,50,000,53575,00000,00000,0,A,Orleans village,Vermont,802,800,797,786,773
162,50,000,56800,00000,00000,0,A,Poultney village,Vermont,1095,1095,1100,1095,1098
162,50,000,61225,00000,00000,0,A,Rutland city,Vermont,15815,15785,15822,15692,15630
162,50,000,61675,00000,00000,0,A,St. Albans city,Vermont,6863,6867,6955,6943,6935
162,50,000,62950,00000,00000,0,A,Saxtons River village,Vermont,475,476,476,474,472
162,50,000,66175,00000,00000,0,A,South Burlington city,Vermont,20280,20293,20364,20631,21043
162,50,000,71650,00000,00000,0,A,Swanton village,Vermont,2350,2354,2364,2379,2385
162,50,000,74650,00000,00000,0,A,Vergennes city,Vermont,2555,2555,2567,2565,2566
162,50,000,78025,00000,00000,0,A,Wells River village,Vermont,436,436,444,450,451
162,50,000,79150,00000,00000,0,A,West Burke village,Vermont,278,277,279,279,277
162,50,000,81325,00000,00000,0,A,Westminster village,Vermont,287,286,288,287,288
162,50,000,85150,00000,00000,0,A,Winooski city,Vermont,8000,8044,8366,8330,8251
162,50,000,85900,00000,00000,0,A,Woodstock village,Vermont,937,936,945,941,937
050,50,001,00000,00000,00000,0,A,Addison County,Vermont,37365,37355,37408,37555,37720
157,50,001,74650,00000,00000,0,A,Vergennes city,Vermont,2555,2555,2567,2565,2566
157,50,001,99990,00000,00000,0,S,Balance of Addison County,Vermont,34810,34800,34841,34990,35154
061,50,001,00000,00325,00000,1,A,Addison town,Vermont,1357,1355,1351,1352,1349
061,50,001,00000,08575,00000,1,A,Bridport town,Vermont,1225,1225,1224,1227,1234
061,50,001,00000,09025,00000,1,A,Bristol town,Vermont,3780,3776,3764,3763,3766
061,50,001,00000,16000,00000,1,A,Cornwall town,Vermont,1209,1209,1225,1246,1265
061,50,001,00000,26300,00000,1,A,Ferrisburgh town,Vermont,2645,2642,2641,2647,2664
061,50,001,00000,28600,00000,1,A,Goshen town,Vermont,175,175,177,179,182
061,50,001,00000,29575,00000,1,A,Granville town,Vermont,301,300,300,301,303
061,50,001,00000,31525,00000,1,A,Hancock town,Vermont,357,356,356,356,357
061,50,001,00000,39325,00000,1,A,Leicester town,Vermont,990,991,998,1002,1007
061,50,001,00000,40075,00000,1,A,Lincoln town,Vermont,1331,1331,1332,1344,1359
061,50,001,00000,44350,00000,1,A,Middlebury town,Vermont,9153,9154,9148,9155,9169
061,50,001,00000,45550,00000,1,A,Monkton town,Vermont,2075,2076,2095,2127,2159
061,50,001,00000,48700,00000,1,A,New Haven town,Vermont,1689,1690,1693,1709,1718
061,50,001,00000,53725,00000,1,A,Orwell town,Vermont,1247,1245,1244,1243,1246
061,50,001,00000,53950,00000,1,A,Panton town,Vermont,648,651,662,664,664
061,50,001,00000,59650,00000,1,A,Ripton town,Vermont,737,737,739,744,745
061,50,001,00000,62575,00000,1,A,Salisbury town,Vermont,1222,1220,1215,1216,1228
061,50,001,00000,65050,00000,1,A,Shoreham town,Vermont,1251,1249,1252,1259,1270
061,50,001,00000,70075,00000,1,A,Starksboro town,Vermont,1758,1759,1767,1785,1792
061,50,001,00000,74650,00000,0,F,Vergennes city,Vermont,2555,2555,2567,2565,2566
