GEOID,NAME,NAMELSAD,ALAND,DISTRICT
5000100325,Addison,Addison town,107710362,Addison Northwest USD
5001900475,Albany,Albany town,99830311,Lake Region UHSD
5001900475,Albany,Albany town,99830311,Lake Region Union Elm-Middle SD
5001300860,Alburgh,Alburgh town,75373353,Alburgh
5002701300,Andover,Andover town,74720639,Green Mountain USD
5000301450,Arlington,Arlington town,108847991,Arlington
5002501900,Athens,Athens town,36137937,Athens Grafton UESD
5002501900,Athens,Athens town,36137937,Bellows Falls UHSD
5000902125,Averill,Averill town,93269918,Averill
5000902162,Avery's,Avery's gore,47207744,Averys Gore
5001102500,Bakersfield,Bakersfield town,108990793,Northern Mountain Valley UUSD
5002702575,Baltimore,Baltimore town,12314212,Green Mountain USD
5002702725,Barnard,Barnard town,124407498,Mountain Views School District
5000502875,Barnet,Barnet town,109623097,Caledonia Cooperative School District
5002303250,Barre,Barre town,79183873,Barre UUSD
5002303175,Barre,Barre city,10327563,Barre UUSD
5001903550,Barton,Barton town,110681933,Lake Region UHSD
5001903550,Barton,Barton town,110681933,Lake Region Union Elm-Middle SD
5001504375,Belvidere,Belvidere town,92206005,Lamoille North MUSD A
5001504375,Belvidere,Belvidere town,92206005,Lamoille North MUSD B
5000304825,Bennington,Bennington town,108648450,Mt. Anthony UHSD
5000304825b,Bennington Less NBID,Bennington Less NBID,103957675,Southwest Vermont UESD
5000304825a,Bennington NBID,Bennington NBID,4690774,North Bennington ID
5002105200,Benson,Benson town,113651207,Slate Valley UUSD
5001105425,Berkshire,Berkshire town,107977139,Northern Mountain Valley UUSD
5002305650,Berlin,Berlin town,93344938,Washington Central UUSD
5002705800,Bethel,Bethel town,117835268,White River Unified District
5000906325,Bloomfield,Bloomfield town,104034236,Northeast Kingdom Choice School District
5000706550,Bolton,Bolton town,108170249,Mt. Mansfield UUSD
5001707375,Bradford,Bradford town,76818599,Oxbow UUSD
5001707600,Braintree,Braintree town,99570810,Orange Southwest USD
5002107750,Brandon,Brandon town,102913147,Otter Valley UUSD
5002507900,Brattleboro,Brattleboro town,83023847,Windham Southeast SD
5002708275,Bridgewater,Bridgewater town,128160488,Mountain Views School District
5000108575,Bridport,Bridport town,113158876,Addison Central USD
5000908725,Brighton,Brighton town,136927046,Brighton
5000908725,Brighton,Brighton town,136927046,North Country Sr UHSD
5000109025,Bristol,Bristol town,105018080,Mt. Abraham USD
5001709325,Brookfield,Brookfield town,105876670,Orange Southwest USD
5002509475,Brookline,Brookline town,33290178,West River Modified Union Education District
5001909850,Brownington,Brownington town,72730870,Lake Region UHSD
5001909850,Brownington,Brownington town,72730870,Lake Region Union Elm-Middle SD
5000910075,Brunswick,Brunswick town,64204673,Northeast Kingdom Choice School District
5000710300,Buels,Buels gore,12944561,Buels Gore
5000510450,Burke,Burke town,86927866,Kingdom East USD
5000710675,Burlington,Burlington city,26684549,Burlington
5002311125,Cabot,Cabot town,96181962,Cabot
5002311350,Calais,Calais town,98239517,Washington Central UUSD
5001511500,Cambridge,Cambridge town,163019447,Cambridge
5001511500,Cambridge,Cambridge town,163019447,Lamoille North MUSD B
5000911800,Canaan,Canaan town,85526365,Canaan
5002111950,Castleton,Castleton town,100858959,Slate Valley UUSD
5002712250,Cavendish,Cavendish town,102045909,Green Mountain USD
5001913150,Charleston,Charleston town,96102891,Charleston
5001913150,Charleston,Charleston town,96102891,North Country Sr UHSD
5000713300,Charlotte,Charlotte town,106841378,Champlain Valley USD
5001713525,Chelsea,Chelsea town,103731778,First Branch USD
5002713675,Chester,Chester town,144290221,Green Mountain USD
5002114350,Chittenden,Chittenden town,188383539,Barstow UUSD
5002114500,Clarendon,Clarendon town,81031834,Mill River UUSD
5000714875,Colchester,Colchester town,94016198,Colchester
5000915250,Concord,Concord town,132826613,Kingdom East USD
5001715700,Corinth,Corinth town,124945252,Waits River Valley School District
5000116000,Cornwall,Cornwall town,73990774,Addison Central USD
5001916150,Coventry,Coventry town,69986513,Coventry
5001916300,Craftsbury,Craftsbury town,101009278,Craftsbury
5002116825,Danby,Danby town,107599269,Taconic and Green Regional SD
5000517125,Danville,Danville town,156995401,Danville
5001917350,Derby,Derby town,126865268,Derby
5001917350,Derby,Derby town,126865268,North Country Jr UHSD
5001917350,Derby,Derby town,126865268,North Country Sr UHSD
